Truth,Time,Substream_ID,Value0,Critical
A,0,0,A,False
C,1,0,C,False
A,2,0,A,False
C,3,0,C,False
B,4,0,B,False
C,5,0,C,False
A,6,0,A,False
C,7,0,C,False
A,8,0,A,False
C,9,0,C,False
B,10,0,B,False
E,11,0,E,True
C,12,0,C,False
A,13,0,A,False
C,14,0,C,False
A,15,0,A,False
C,16,0,C,False
A,17,0,A,False
C,18,0,C,False
A,19,0,A,False
C,20,0,C,False
A,21,0,A,False
A,22,0,A,False
C,23,0,C,False
A,24,0,A,False
D,25,0,D,False
E,26,0,E,True
C,27,0,C,False
A,28,0,A,False
D,29,0,D,False
D,30,0,D,False
D,31,0,D,False
D,32,0,D,False
E,33,0,E,True
C,34,0,C,False
A,35,0,A,False
D,36,0,D,False
E,37,0,E,True
C,38,0,C,False
A,39,0,A,False
D,40,0,D,False
E,41,0,E,True
C,42,0,C,False
A,43,0,A,False
A,44,0,A,False
C,45,0,C,False
A,46,0,A,False
C,47,0,C,False
A,48,0,A,False
A,49,0,A,False
A,50,0,A,False
D,51,0,D,False
E,52,0,E,True
C,53,0,C,False
A,54,0,A,False
C,55,0,C,False
B,56,0,B,False
C,57,0,C,False
A,58,0,A,False
C,59,0,C,False
A,60,0,A,False
C,61,0,C,False
A,62,0,A,False
C,63,0,C,False
A,64,0,A,False
D,65,0,D,False
E,66,0,E,True
C,67,0,C,False
A,68,0,A,False
C,69,0,C,False
A,70,0,A,False
D,71,0,D,False
E,72,0,E,True
C,73,0,C,False
B,74,0,B,False
E,75,0,E,True
A,76,0,A,False
C,77,0,C,False
B,78,0,B,False
E,79,0,E,True
C,80,0,C,False
A,81,0,A,False
C,82,0,C,False
B,83,0,B,False
C,84,0,C,False
A,85,0,A,False
A,86,0,A,False
A,87,0,A,False
D,88,0,D,False
E,89,0,E,True
C,90,0,C,False
A,91,0,A,False
D,92,0,D,False
E,93,0,E,True
C,94,0,C,False
A,95,0,A,False
D,96,0,D,False
E,97,0,E,True
C,98,0,C,False
A,99,0,A,False
D,100,0,D,False
E,101,0,E,True
C,102,0,C,False
A,103,0,A,False
D,104,0,D,False
E,105,0,E,True
C,106,0,C,False
A,107,0,A,False
C,108,0,C,False
A,109,0,A,False
C,110,0,C,False
B,111,0,B,False
E,112,0,E,True
A,113,0,A,False
D,114,0,D,False
E,115,0,E,True
C,116,0,C,False
A,117,0,A,False
D,118,0,D,False
E,119,0,E,True
C,120,0,C,False
A,121,0,A,False
D,122,0,D,False
E,123,0,E,True
C,124,0,C,False
A,125,0,A,False
C,126,0,C,False
B,127,0,B,False
C,128,0,C,False
A,129,0,A,False
D,130,0,D,False
D,131,0,D,False
E,132,0,E,True
C,133,0,C,False
A,134,0,A,False
D,135,0,D,False
E,136,0,E,True
A,137,0,A,False
C,138,0,C,False
B,139,0,B,False
E,140,0,E,True
A,141,0,A,False
A,142,0,A,False
D,143,0,D,False
E,144,0,E,True
C,145,0,C,False
A,146,0,A,False
D,147,0,D,False
D,148,0,D,False
E,149,0,E,True
A,150,0,A,False
C,151,0,C,False
A,152,0,A,False
D,153,0,D,False
D,154,0,D,False
D,155,0,D,False
D,156,0,D,False
D,157,0,D,False
D,158,0,D,False
E,159,0,E,True
C,160,0,C,False
A,161,0,A,False
D,162,0,D,False
E,163,0,E,True
C,164,0,C,False
A,165,0,A,False
C,166,0,C,False
A,167,0,A,False
C,168,0,C,False
A,169,0,A,False
D,170,0,D,False
D,171,0,D,False
D,172,0,D,False
D,173,0,D,False
E,174,0,E,True
A,175,0,A,False
A,176,0,A,False
C,177,0,C,False
A,178,0,A,False
D,179,0,D,False
E,180,0,E,True
A,181,0,A,False
D,182,0,D,False
E,183,0,E,True
C,184,0,C,False
A,185,0,A,False
D,186,0,D,False
E,187,0,E,True
C,188,0,C,False
B,189,0,B,False
E,190,0,E,True
C,191,0,C,False
A,192,0,A,False
C,193,0,C,False
A,194,0,A,False
D,195,0,D,False
E,196,0,E,True
A,197,0,A,False
C,198,0,C,False
A,199,0,A,False
D,200,0,D,False
E,201,0,E,True
A,202,0,A,False
D,203,0,D,False
D,204,0,D,False
D,205,0,D,False
E,206,0,E,True
C,207,0,C,False
A,208,0,A,False
A,209,0,A,False
C,210,0,C,False
B,211,0,B,False
C,212,0,C,False
A,213,0,A,False
A,214,0,A,False
D,215,0,D,False
E,216,0,E,True
C,217,0,C,False
A,218,0,A,False
D,219,0,D,False
E,220,0,E,True
A,221,0,A,False
A,222,0,A,False
D,223,0,D,False
E,224,0,E,True
A,225,0,A,False
C,226,0,C,False
A,227,0,A,False
D,228,0,D,False
