Truth,Time,Substream_ID,Value0,Critical
A,0,0,A,False
B,1,0,B,True
C,2,0,C,False
B,3,0,B,True
C,4,0,C,False
B,5,0,B,True
C,6,0,C,False
B,7,0,B,True
A,8,0,A,False
B,9,0,B,True
C,10,0,C,False
B,11,0,B,True
C,12,0,C,False
B,13,0,B,True
C,14,0,C,False
B,15,0,B,True
C,16,0,C,False
B,17,0,B,True
C,18,0,C,False
B,19,0,B,True
C,20,0,C,False
B,21,0,B,True
A,22,0,A,False
B,23,0,B,True
C,24,0,C,False
B,25,0,B,True
C,26,0,C,False
A,27,0,A,False
A,28,0,A,False
A,29,0,A,False
A,30,0,A,False
A,31,0,A,False
A,32,0,A,False
A,33,0,A,False
A,34,0,A,False
A,35,0,A,False
A,36,0,A,False
B,37,0,B,True
A,38,0,A,False
A,39,0,A,False
A,40,0,A,False
A,41,0,A,False
B,42,0,B,True
C,43,0,C,False
A,44,0,A,False
B,45,0,B,True
C,46,0,C,False
B,47,0,B,True
C,48,0,C,False
A,49,0,A,False
A,50,0,A,False
A,51,0,A,False
B,52,0,B,True
C,53,0,C,False
B,54,0,B,True
C,55,0,C,False
B,56,0,B,True
C,57,0,C,False
B,58,0,B,True
C,59,0,C,False
B,60,0,B,True
C,61,0,C,False
B,62,0,B,True
C,63,0,C,False
B,64,0,B,True
C,65,0,C,False
B,66,0,B,True
C,67,0,C,False
B,68,0,B,True
C,69,0,C,False
B,70,0,B,True
C,71,0,C,False
B,72,0,B,True
C,73,0,C,False
B,74,0,B,True
C,75,0,C,False
B,76,0,B,True
C,77,0,C,False
B,78,0,B,True
C,79,0,C,False
A,80,0,A,False
A,81,0,A,False
B,82,0,B,True
C,83,0,C,False
B,84,0,B,True
C,85,0,C,False
A,86,0,A,False
A,87,0,A,False
A,88,0,A,False
B,89,0,B,True
A,90,0,A,False
B,91,0,B,True
C,92,0,C,False
B,93,0,B,True
C,94,0,C,False
B,95,0,B,True
C,96,0,C,False
B,97,0,B,True
C,98,0,C,False
A,99,0,A,False
A,100,0,A,False
B,101,0,B,True
C,102,0,C,False
A,103,0,A,False
A,104,0,A,False
B,105,0,B,True
C,106,0,C,False
A,107,0,A,False
B,108,0,B,True
C,109,0,C,False
B,110,0,B,True
C,111,0,C,False
B,112,0,B,True
C,113,0,C,False
A,114,0,A,False
B,115,0,B,True
C,116,0,C,False
A,117,0,A,False
A,118,0,A,False
A,119,0,A,False
B,120,0,B,True
C,121,0,C,False
A,122,0,A,False
A,123,0,A,False
A,124,0,A,False
A,125,0,A,False
B,126,0,B,True
C,127,0,C,False
A,128,0,A,False
B,129,0,B,True
C,130,0,C,False
A,131,0,A,False
B,132,0,B,True
C,133,0,C,False
B,134,0,B,True
C,135,0,C,False
B,136,0,B,True
C,137,0,C,False
B,138,0,B,True
C,139,0,C,False
B,140,0,B,True
C,141,0,C,False
A,142,0,A,False
A,143,0,A,False
A,144,0,A,False
B,145,0,B,True
C,146,0,C,False
A,147,0,A,False
A,148,0,A,False
B,149,0,B,True
C,150,0,C,False
B,151,0,B,True
A,152,0,A,False
A,153,0,A,False
A,154,0,A,False
A,155,0,A,False
A,156,0,A,False
A,157,0,A,False
A,158,0,A,False
B,159,0,B,True
C,160,0,C,False
A,161,0,A,False
A,162,0,A,False
A,163,0,A,False
B,164,0,B,True
C,165,0,C,False
B,166,0,B,True
C,167,0,C,False
B,168,0,B,True
C,169,0,C,False
A,170,0,A,False
A,171,0,A,False
A,172,0,A,False
A,173,0,A,False
A,174,0,A,False
B,175,0,B,True
A,176,0,A,False
B,177,0,B,True
C,178,0,C,False
A,179,0,A,False
B,180,0,B,True
C,181,0,C,False
B,182,0,B,True
C,183,0,C,False
B,184,0,B,True
C,185,0,C,False
B,186,0,B,True
C,187,0,C,False
A,188,0,A,False
B,189,0,B,True
C,190,0,C,False
B,191,0,B,True
C,192,0,C,False
B,193,0,B,True
C,194,0,C,False
B,195,0,B,True
C,196,0,C,False
B,197,0,B,True
C,198,0,C,False
B,199,0,B,True
C,200,0,C,False
B,201,0,B,True
C,202,0,C,False
B,203,0,B,True
C,204,0,C,False
A,205,0,A,False
A,206,0,A,False
A,207,0,A,False
A,208,0,A,False
A,209,0,A,False
B,210,0,B,True
C,211,0,C,False
A,212,0,A,False
A,213,0,A,False
A,214,0,A,False
A,215,0,A,False
B,216,0,B,True
C,217,0,C,False
B,218,0,B,True
C,219,0,C,False
B,220,0,B,True
C,221,0,C,False
A,222,0,A,False
A,223,0,A,False
B,224,0,B,True
C,225,0,C,False
B,226,0,B,True
C,227,0,C,False
A,228,0,A,False
A,229,0,A,False
B,230,0,B,True
C,231,0,C,False
B,232,0,B,True
C,233,0,C,False
B,234,0,B,True
C,235,0,C,False
B,236,0,B,True
C,237,0,C,False
B,238,0,B,True
C,239,0,C,False
B,240,0,B,True
C,241,0,C,False
B,242,0,B,True
C,243,0,C,False
B,244,0,B,True
C,245,0,C,False
B,246,0,B,True
C,247,0,C,False
A,248,0,A,False
A,249,0,A,False
B,250,0,B,True
C,251,0,C,False
B,252,0,B,True
C,253,0,C,False
A,254,0,A,False
A,255,0,A,False
A,256,0,A,False
B,257,0,B,True
C,258,0,C,False
B,259,0,B,True
C,260,0,C,False
A,261,0,A,False
B,262,0,B,True
C,263,0,C,False
B,264,0,B,True
C,265,0,C,False
B,266,0,B,True
C,267,0,C,False
A,268,0,A,False
B,269,0,B,True
C,270,0,C,False
B,271,0,B,True
C,272,0,C,False
A,273,0,A,False
B,274,0,B,True
C,275,0,C,False
A,276,0,A,False
B,277,0,B,True
A,278,0,A,False
A,279,0,A,False
B,280,0,B,True
C,281,0,C,False
B,282,0,B,True
C,283,0,C,False
B,284,0,B,True
C,285,0,C,False
A,286,0,A,False
A,287,0,A,False
A,288,0,A,False
B,289,0,B,True
C,290,0,C,False
B,291,0,B,True
A,292,0,A,False
A,293,0,A,False
A,294,0,A,False
B,295,0,B,True
C,296,0,C,False
B,297,0,B,True
C,298,0,C,False
B,299,0,B,True
C,300,0,C,False
B,301,0,B,True
A,302,0,A,False
A,303,0,A,False
A,304,0,A,False
A,305,0,A,False
A,306,0,A,False
A,307,0,A,False
A,308,0,A,False
B,309,0,B,True
C,310,0,C,False
B,311,0,B,True
C,312,0,C,False
B,313,0,B,True
C,314,0,C,False
A,315,0,A,False
A,316,0,A,False
B,317,0,B,True
C,318,0,C,False
A,319,0,A,False
B,320,0,B,True
C,321,0,C,False
B,322,0,B,True
C,323,0,C,False
B,324,0,B,True
A,325,0,A,False
B,326,0,B,True
C,327,0,C,False
A,328,0,A,False
A,329,0,A,False
B,330,0,B,True
C,331,0,C,False
A,332,0,A,False
A,333,0,A,False
A,334,0,A,False
B,335,0,B,True
C,336,0,C,False
A,337,0,A,False
B,338,0,B,True
C,339,0,C,False
B,340,0,B,True
C,341,0,C,False
B,342,0,B,True
C,343,0,C,False
B,344,0,B,True
C,345,0,C,False
A,346,0,A,False
A,347,0,A,False
A,348,0,A,False
A,349,0,A,False
B,350,0,B,True
C,351,0,C,False
A,352,0,A,False
A,353,0,A,False
A,354,0,A,False
B,355,0,B,True
C,356,0,C,False
B,357,0,B,True
C,358,0,C,False
B,359,0,B,True
C,360,0,C,False
B,361,0,B,True
C,362,0,C,False
B,363,0,B,True
C,364,0,C,False
B,365,0,B,True
C,366,0,C,False
A,367,0,A,False
B,368,0,B,True
C,369,0,C,False
A,370,0,A,False
B,371,0,B,True
C,372,0,C,False
A,373,0,A,False
B,374,0,B,True
C,375,0,C,False
B,376,0,B,True
C,377,0,C,False
B,378,0,B,True
A,379,0,A,False
A,380,0,A,False
A,381,0,A,False
A,382,0,A,False
B,383,0,B,True
C,384,0,C,False
B,385,0,B,True
C,386,0,C,False
A,387,0,A,False
A,388,0,A,False
A,389,0,A,False
B,390,0,B,True
C,391,0,C,False
B,392,0,B,True
C,393,0,C,False
