Truth,Time,Substream_ID,Value0,Value1,Value2,Value3,Critical
A,0,0,Male,22,178,blonde,False
B,1,0,Male,36,216,brown,False
A,2,0,Male,22,174,brown,False
B,3,0,Male,37,218,blonde,False
A,4,0,Male,24,169,brown,False
B,5,0,Male,34,203,brown,False
A,6,0,Male,24,169,brown,False
B,7,0,Male,33,202,brown,False
C,8,0,Male,39,163,blonde,False
D,9,0,Male,76,178,brown,True
D,10,0,Male,71,180,brown,True
D,11,0,Male,73,166,blonde,True
D,12,0,Male,67,177,blonde,True
B,13,0,Male,41,215,brown,False
A,14,0,Male,19,175,blonde,False
B,15,0,Male,35,218,blonde,False
A,16,0,Male,19,169,brown,False
B,17,0,Male,33,202,brown,False
A,18,0,Male,24,180,blonde,False
B,19,0,Male,36,217,brown,False
A,20,0,Male,17,175,blonde,False
B,21,0,Male,44,219,brown,False
C,22,0,Male,39,156,brown,False
D,23,0,Male,75,172,brown,True
B,24,0,Male,34,206,blonde,False
C,25,0,Male,32,164,brown,False
D,26,0,Male,80,167,blonde,True
B,27,0,Male,42,204,blonde,False
C,28,0,Male,32,156,brown,False
D,29,0,Male,73,172,blonde,True
B,30,0,Male,42,218,brown,False
C,31,0,Male,41,159,brown,False
D,32,0,Male,80,176,blonde,True
B,33,0,Male,37,219,blonde,False
C,34,0,Male,39,164,brown,False
A,35,0,Male,19,172,blonde,False
B,36,0,Male,43,208,blonde,False
A,37,0,Male,19,176,blonde,False
C,38,0,Male,37,161,blonde,False
D,39,0,Male,68,169,blonde,True
B,40,0,Male,32,218,blonde,False
A,41,0,Male,16,168,blonde,False
B,42,0,Male,41,218,blonde,False
C,43,0,Male,38,156,brown,False
A,44,0,Male,17,166,blonde,False
B,45,0,Male,35,205,blonde,False
A,46,0,Male,23,171,blonde,False
B,47,0,Male,42,200,brown,False
C,48,0,Male,41,156,brown,False
A,49,0,Male,17,172,blonde,False
C,50,0,Male,42,159,brown,False
D,51,0,Male,78,170,blonde,True
D,52,0,Male,79,166,blonde,True
B,53,0,Male,43,212,blonde,False
A,54,0,Male,20,176,brown,False
B,55,0,Male,45,218,blonde,False
A,56,0,Male,19,166,blonde,False
B,57,0,Male,45,205,brown,False
C,58,0,Male,40,159,blonde,False
D,59,0,Male,79,170,blonde,True
B,60,0,Male,39,213,brown,False
A,61,0,Male,21,177,brown,False
B,62,0,Male,34,217,blonde,False
A,63,0,Male,23,167,brown,False
B,64,0,Male,43,201,brown,False
C,65,0,Male,34,158,brown,False
D,66,0,Male,76,174,brown,True
B,67,0,Male,41,220,blonde,False
A,68,0,Male,20,177,brown,False
B,69,0,Male,45,220,blonde,False
A,70,0,Male,16,171,brown,False
B,71,0,Male,34,207,blonde,False
A,72,0,Male,23,177,brown,False
B,73,0,Male,32,212,brown,False
A,74,0,Male,16,170,brown,False
B,75,0,Male,33,208,blonde,False
A,76,0,Male,23,180,blonde,False
B,77,0,Male,32,215,brown,False
A,78,0,Male,20,179,blonde,False
B,79,0,Male,44,213,blonde,False
C,80,0,Male,40,156,blonde,False
D,81,0,Male,65,177,brown,True
D,82,0,Male,75,165,blonde,True
D,83,0,Male,65,165,blonde,True
B,84,0,Male,35,203,blonde,False
C,85,0,Male,45,159,brown,False
A,86,0,Male,18,168,brown,False
C,87,0,Male,45,161,blonde,False
D,88,0,Male,65,173,brown,True
D,89,0,Male,68,173,blonde,True
B,90,0,Male,42,216,brown,False
A,91,0,Male,17,169,brown,False
B,92,0,Male,45,200,blonde,False
A,93,0,Male,16,171,brown,False
B,94,0,Male,40,210,brown,False
C,95,0,Male,41,155,brown,False
D,96,0,Male,79,178,brown,True
D,97,0,Male,70,171,brown,True
B,98,0,Male,41,209,blonde,False
C,99,0,Male,34,157,brown,False
D,100,0,Male,75,175,brown,True
B,101,0,Male,43,202,brown,False
C,102,0,Male,44,164,blonde,False
A,103,0,Male,16,173,blonde,False
B,104,0,Male,34,218,brown,False
A,105,0,Male,21,177,blonde,False
B,106,0,Male,36,203,brown,False
C,107,0,Male,43,158,blonde,False
D,108,0,Male,74,170,blonde,True
B,109,0,Male,36,212,brown,False
A,110,0,Male,20,178,blonde,False
B,111,0,Male,33,217,brown,False
A,112,0,Male,23,175,brown,False
B,113,0,Male,33,215,blonde,False
C,114,0,Male,43,162,brown,False
D,115,0,Male,66,174,brown,True
B,116,0,Male,43,204,blonde,False
C,117,0,Male,42,164,brown,False
D,118,0,Male,67,167,blonde,True
B,119,0,Male,35,207,blonde,False
A,120,0,Male,22,165,blonde,False
C,121,0,Male,38,163,brown,False
D,122,0,Male,79,180,blonde,True
B,123,0,Male,38,202,brown,False
C,124,0,Male,35,159,blonde,False
D,125,0,Male,78,171,brown,True
D,126,0,Male,68,167,blonde,True
D,127,0,Male,79,171,blonde,True
B,128,0,Male,39,212,brown,False
A,129,0,Male,19,166,blonde,False
B,130,0,Male,41,204,blonde,False
C,131,0,Male,35,162,brown,False
D,132,0,Male,76,169,blonde,True
D,133,0,Male,80,169,brown,True
B,134,0,Male,42,213,brown,False
A,135,0,Male,21,180,brown,False
B,136,0,Male,42,206,blonde,False
A,137,0,Male,16,175,brown,False
B,138,0,Male,45,210,blonde,False
A,139,0,Male,24,169,brown,False
B,140,0,Male,41,204,brown,False
A,141,0,Male,25,174,brown,False
C,142,0,Male,33,156,blonde,False
D,143,0,Male,67,172,blonde,True
B,144,0,Male,32,209,blonde,False
A,145,0,Male,23,175,blonde,False
C,146,0,Male,44,157,brown,False
D,147,0,Male,76,177,blonde,True
B,148,0,Male,41,202,blonde,False
A,149,0,Male,22,171,brown,False
B,150,0,Male,40,219,brown,False
A,151,0,Male,23,177,blonde,False
C,152,0,Male,45,155,blonde,False
D,153,0,Male,70,174,brown,True
B,154,0,Male,37,202,brown,False
C,155,0,Male,45,159,brown,False
D,156,0,Male,78,177,brown,True
B,157,0,Male,32,205,blonde,False
C,158,0,Male,35,159,brown,False
D,159,0,Male,66,166,brown,True
D,160,0,Male,78,169,brown,True
B,161,0,Male,45,219,blonde,False
C,162,0,Male,42,157,brown,False
D,163,0,Male,78,166,brown,True
B,164,0,Male,38,214,blonde,False
C,165,0,Male,33,162,blonde,False
D,166,0,Male,65,166,blonde,True
B,167,0,Male,42,210,blonde,False
A,168,0,Male,24,176,blonde,False
B,169,0,Male,38,215,blonde,False
C,170,0,Male,32,164,brown,False
D,171,0,Male,75,168,brown,True
B,172,0,Male,44,204,brown,False
C,173,0,Male,44,159,blonde,False
D,174,0,Male,71,166,brown,True
D,175,0,Male,79,176,blonde,True
B,176,0,Male,39,211,blonde,False
A,177,0,Male,16,166,brown,False
B,178,0,Male,36,200,blonde,False
C,179,0,Male,35,156,brown,False
D,180,0,Male,74,168,blonde,True
D,181,0,Male,78,178,blonde,True
B,182,0,Male,33,213,blonde,False
A,183,0,Male,17,178,blonde,False
B,184,0,Male,43,200,brown,False
A,185,0,Male,22,178,blonde,False
B,186,0,Male,39,210,brown,False
A,187,0,Male,17,176,blonde,False
C,188,0,Male,33,160,blonde,False
D,189,0,Male,76,176,blonde,True
B,190,0,Male,32,207,brown,False
A,191,0,Male,17,169,blonde,False
B,192,0,Male,32,206,blonde,False
A,193,0,Male,16,174,brown,False
C,194,0,Male,43,155,blonde,False
D,195,0,Male,69,170,brown,True
B,196,0,Male,33,215,brown,False
A,197,0,Male,20,169,blonde,False
B,198,0,Male,35,211,brown,False
C,199,0,Male,39,159,brown,False
D,200,0,Male,75,170,blonde,True
D,201,0,Male,68,174,blonde,True
D,202,0,Male,77,169,blonde,True
